code,name,nmc
601868,中国能建,8042324.453728
601869,长飞光纤,15392095.33432
601872,招商轮船,15503113.92384
601877,正泰电器,5559382.740912
601878,浙商证券,4294659.241933
601880,辽港股份,2706718.528458
601881,中国银河,9003568.105389
601882,海天精工,1181286.0
601886,江河集团,1525020.77276
601888,中国中免,10660516.47024
601890,亚星锚链,877851.0
601898,中煤能源,13892736.6072
601899,紫金矿业,68706980.1219
601900,南方传媒,1098052.76703
601901,方正证券,5696614.16534
601908,京运通,717137.049717
601916,浙商银行,6398697.481011
601918,新集能源,2714887.8064
601919,中远海控,20165798.36579
601921,浙版传媒,1673333.333919
601928,凤凰传媒,2201338.5
601929,吉视传媒,879426.618336
601933,永辉超市,2820311.74414
601939,建设银行,10533836.051388
601949,中国出版,1110013.375482
601952,苏垦农发,1284296.0
601956,东贝集团,310808.295
601958,金钼股份,6769416.0312
601963,重庆银行,2306631.655944
